taxa	GenLength
Chloephaga_rubidiceps	6.025147469
Radjah_radjah	3.996141226
Alopochen_aegyptiaca	6.553195244
Alopochen_mauritiana	6.553195244
Alopochen_kervazoi	6.553195244
Tadorna_tadorna	8.13245923
Tadorna_ferruginea	4.588042612
Tadorna_cana	4.006790632
Tadorna_tadornoides	4.960265796
Tadorna_variegata	5.092935427
Tadorna_cristata	4.811300681
Plectropterus_gambensis	4.260034095
Cairina_moschata	3.935264598
Sarkidiornis_sylvicola	2.979784714
Sarkidiornis_melanotos	2.356371066
Nettapus_auritus	2.515020755
Nettapus_coromandelianus	2.489767123
Nettapus_pulchellus	2.768388554
Callonetta_leucophrys	2.706537105
Aix_sponsa	4.056081918
Aix_galericulata	3.035796307
Chenonetta_jubata	3.266520865
Chenonetta_finschi	4.399120219
Hymenolaimus_malacorhynchos	4.901912141
Merganetta_armata	5.206102844
Pteronetta_hartlaubii	2.711095168
Cyanochen_cyanoptera	5.304998937
Marmaronetta_angustirostris	2.941434772
Asarcornis_scutulata	4.816735066
Netta_rufina	2.497672293
Netta_peposaca	2.218241733
Netta_erythrophthalma	2.072947748
Aythya_ferina	4.227950229
Aythya_americana	4.194698424
Aythya_valisineria	5.161870032
Aythya_australis	3.489702874
Aythya_innotata	3.748139205
Aythya_baeri	3.535442068
Aythya_nyroca	3.514308407
Aythya_novaeseelandiae	5.752541597
Aythya_collaris	3.76042376
Aythya_fuligula	4.012210421
Aythya_marila	4.148126497
Aythya_affinis	5.023958311
Rhodonessa_caryophyllacea	5.472264623
Salvadorina_waigiuensis	4.813186135
Tachyeres_patachonicus	5.754731275
Tachyeres_leucocephalus	7.998419243
Tachyeres_pteneres	7.028776624
Tachyeres_brachypterus	5.945529855
Lophonetta_specularioides	5.081793269
Speculanas_specularis	6.10755458
Amazonetta_brasiliensis	3.879836318
Spatula_querquedula	3.665187719
Spatula_hottentota	3.05363687
Spatula_puna	3.497602456
Spatula_versicolor	3.698931353
Spatula_platalea	4.231147759
Spatula_smithii	3.463784184
Spatula_rhynchotis	3.253911393
Spatula_clypeata	4.095844242
Spatula_cyanoptera	2.91362668
Spatula_discors	3.937736958
Sibirionetta_formosa	3.544934582
Mareca_falcata	3.782226439
Mareca_strepera	3.673352314
Mareca_penelope	3.789266937
Mareca_americana	3.89349214
Mareca_sibilatrix	3.75139633
Anas_sparsa	5.452439815
Anas_undulata	4.086901791
Anas_melleri	3.881891831
Anas_superciliosa	4.943396813
Anas_luzonica	3.390974296
Anas_zonorhyncha	3.986551642
Anas_poecilorhyncha	3.820472644
Anas_laysanensis	4.255139768
Anas_platyrhynchos	4.781012977
Anas_rubripes	4.821432747
Anas_fulvigula	4.552456265
Anas_wyvilliana	4.697544323
Anas_theodori	3.986551642
Anas_albogularis	3.986551642
Anas_gibberifrons	3.263777655
Anas_gracilis	5.582447435
Anas_castanea	3.813894066
Anas_chlorotis	5.028064487
Anas_aucklandica	3.879399745
Anas_nesiotis	3.879399745
Anas_bernieri	3.876840015
Anas_capensis	3.276141325
Anas_bahamensis	3.55055938
Anas_erythrorhyncha	3.221454153
Anas_acuta	4.947677081
Anas_eatoni	3.990721526
Anas_marecula	3.986551642
Anas_georgica	4.21377285
Anas_crecca	3.878402736
Anas_andium	2.81781711
Anas_flavirostris	3.677274415
Tachybaptus_ruficollis	4.650740495
Tachybaptus_novaehollandiae	4.624164188
Tachybaptus_pelzelnii	4.778498756
Tachybaptus_rufolavatus	4.793216345
Tachybaptus_dominicus	3.26637837
Podilymbus_podiceps	3.428296921
Podilymbus_gigas	4.081701671
Rollandia_rolland	4.416071854
Rollandia_microptera	5.686393737
Poliocephalus_poliocephalus	4.90167444
Poliocephalus_rufopectus	5.283645071
Podiceps_major	5.966219562
Podiceps_grisegena	5.626612132
Podiceps_cristatus	5.448572694
Podiceps_auritus	4.411423392
Podiceps_nigricollis	5.027990321
Podiceps_andinus	4.446405982
Podiceps_juninensis	4.756873234
Podiceps_occipitalis	4.296387556
Podiceps_taczanowskii	4.646101535
Podiceps_gallardoi	6.07688591
Aechmophorus_occidentalis	5.331588962
Aechmophorus_clarkii	4.814294093
Phoenicopterus_roseus	15.60347424
Phoenicopterus_ruber	12.96915412
Phoenicopterus_chilensis	12.75575929
Phoeniconaias_minor	13.55479269
Phoenicoparrus_andinus	10.63706359
Phoenicoparrus_jamesi	8.568406172
Phaethon_aethereus	10.371904
Phaethon_rubricauda	11.4973242
Phaethon_lepturus	8.168378954
Rhynochetos_jubatus	7.604857201
Eurypyga_helias	5.084054302
Mesitornis_variegatus	4.492005337
Mesitornis_unicolor	5.212265629
Monias_benschi	5.008592486
Columba_livia	3.993083763
Columba_rupestris	3.195575871
Columba_leuconota	3.191185912
Columba_guinea	3.126498653
Columba_albitorques	2.978624574
Columba_oenas	3.362244159
Columba_eversmanni	3.04896325
Columba_oliviae	3.489572046
Columba_palumbus	3.716278409
Columba_trocaz	3.850087021
Columba_bollii	3.527993651
Columba_junoniae	3.720475484
Columba_unicincta	3.709059883
Columba_arquatrix	3.732635099
Columba_sjostedti	3.489572046
Columba_thomensis	4.262389157
Columba_pollenii	3.514394624
Columba_hodgsonii	3.459341748
Columba_albinucha	3.53842653
Columba_pulchricollis	3.363331588
Columba_elphinstonii	3.686547261
Columba_torringtoniae	3.496328338
Columba_punicea	3.815497113
Columba_argentina	3.496328338
Columba_palumboides	4.342818716
Columba_janthina	3.582252386
Columba_versicolor	3.31338294
Columba_jouyi	3.31338294
Columba_vitiensis	3.790923483
Columba_leucomela	4.018711723
Columba_pallidiceps	4.324222926
Columba_delegorguei	2.612288422
Columba_iriditorques	2.809755392
Columba_malherbii	3.93299909
Columba_thiriouxi	3.31338294
Aplopelia_larvata	5.028080064
Streptopelia_turtur	2.833879633
Streptopelia_lugens	2.554004524
Streptopelia_hypopyrrha	2.60268186
Streptopelia_orientalis	3.038224497
Streptopelia_dusumieri	2.74608885
Streptopelia_bitorquata	2.557736519
Streptopelia_decaocto	3.455689008
Streptopelia_xanthocycla	2.74608885
Streptopelia_roseogrisea	4.20927217
Streptopelia_reichenowi	2.470353811
Streptopelia_decipiens	2.477858222
Streptopelia_semitorquata	2.603706745
Streptopelia_capicola	2.55086459
Streptopelia_vinacea	2.414606394
Streptopelia_tranquebarica	2.476245362
Spilopelia_chinensis	3.744876563
Spilopelia_suratensis	2.907759513
Spilopelia_senegalensis	3.344174136
Nesoenas_picturatus	4.792951798
Nesoenas_mayeri	5.411954468
Nesoenas_duboisi	3.026299613
Nesoenas_cicur	3.026299613
Nesoenas_rodericanus	3.026299613
Macropygia_unchall	4.529669551
Macropygia_rufipennis	4.7487811
Macropygia_emiliana	4.837877417
Macropygia_tenuirostris	5.133374604
Macropygia_magna	4.219358112
Macropygia_amboinensis	5.724589671
Macropygia_phasianella	4.435145285
Macropygia_ruficeps	4.334738343
Macropygia_nigrirostris	4.397500737
Macropygia_mackinlayi	3.992868753
Turacoena_manadensis	5.616895871
Turacoena_modesta	5.302593641
Reinwardtoena_reinwardti	6.381263318
Reinwardtoena_browni	5.247496147
Reinwardtoena_crassirostris	5.943279339
Ectopistes_migratorius	3.026299613
Patagioenas_leucocephala	3.54887253
Patagioenas_squamosa	4.935501899
Patagioenas_speciosa	3.543045373
Patagioenas_corensis	3.783210931
Patagioenas_picazuro	3.817015935
Patagioenas_maculosa	3.94286767
Patagioenas_albipennis	3.832277439
Patagioenas_fasciata	4.394132128
Patagioenas_albilinea	3.832277439
Patagioenas_araucana	3.650295477
Patagioenas_caribaea	4.460577973
Patagioenas_cayennensis	4.387992218
Patagioenas_flavirostris	4.680046722
Patagioenas_oenops	3.267563725
Patagioenas_inornata	4.08558543
Patagioenas_plumbea	3.425850305
Patagioenas_subvinacea	3.376605075
Patagioenas_nigrirostris	3.696669842
Patagioenas_goodsoni	4.51456623
Starnoenas_cyanocephala	5.860742942
Geotrygon_purpurata	3.026299613
Geotrygon_saphirina	4.651694539
Geotrygon_versicolor	5.493191524
Geotrygon_caniceps	5.605697494
Geotrygon_leucometopia	3.026299613
Geotrygon_montana	4.781938914
Geotrygon_violacea	4.498188359
Geotrygon_chrysia	5.21653878
Geotrygon_mystacea	5.697473574
Leptotrygon_veraguensis	5.028080064
Leptotila_verreauxi	4.306651531
Leptotila_jamaicensis	4.503635728
Leptotila_cassinii	4.369204366
Leptotila_conoveri	3.611091665
Leptotila_ochraceiventris	3.314371817
Leptotila_plumbeiceps	3.495930986
Leptotila_battyi	3.544107255
Leptotila_rufaxilla	4.572896378
Leptotila_wellsi	4.667225139
Leptotila_pallida	3.359055538
Leptotila_megalura	4.843058129
Zentrygon_carrikeri	6.492663252
Zentrygon_costaricensis	4.987518294
Zentrygon_lawrencii	6.003575549
Zentrygon_albifacies	5.946784197
Zentrygon_frenata	6.496050441
Zentrygon_linearis	5.184237585
Zentrygon_chiriquensis	5.928819819
Zentrygon_goldmani	4.061789475
Zenaida_asiatica	4.063751857
Zenaida_meloda	4.046915558
Zenaida_aurita	3.463191122
Zenaida_galapagoensis	2.891409716
Zenaida_auriculata	3.042419061
Zenaida_macroura	5.371662876
Zenaida_graysoni	3.905017604
Columbina_inca	2.799722853
Columbina_squammata	3.222785685
Columbina_passerina	2.931066034
Columbina_minuta	2.515194476
Columbina_buckleyi	2.605267544
Columbina_talpacoti	2.668992315
Columbina_picui	2.765438489
Columbina_cruziana	2.785894299
Columbina_cyanopis	2.540249394
Claravis_pretiosa	3.569853922
Claravis_mondetoura	3.938947655
Claravis_geoffroyi	3.441836794
Metriopelia_ceciliae	3.481847968
Metriopelia_morenoi	3.161995053
Metriopelia_melanoptera	4.186102994
Metriopelia_aymara	3.772430276
Uropelia_campestris	2.315040001
Henicophaps_albifrons	4.911313927
Henicophaps_foersteri	5.584216156
Gallicolumba_luzonica	5.359296607
Gallicolumba_crinigera	5.8717458
Gallicolumba_platenae	5.359296607
Gallicolumba_keayi	4.506100151
Gallicolumba_menagei	4.606085945
Gallicolumba_tristigmata	5.042388386
Gallicolumba_rufigula	5.362495991
Alopecoenas_hoedtii	4.404154454
Alopecoenas_jobiensis	4.789066149
Alopecoenas_kubaryi	5.561659518
Alopecoenas_xanthonurus	4.313518596
Alopecoenas_erythropterus	3.90177828
Alopecoenas_rubescens	3.68494686
Alopecoenas_beccarii	4.653792035
Alopecoenas_johannae	3.026299613
Alopecoenas_canifrons	3.632286115
Alopecoenas_sanctaecrucis	5.255912497
Alopecoenas_stairi	5.038499401
Alopecoenas_salamonis	3.026299613
Alopecoenas_ferrugineus	3.026299613
Leucosarcia_melanoleuca	5.965770606
Petrophassa_rufipennis	4.892657937
Petrophassa_albipennis	4.341353949
Geophaps_plumifera	4.104416394
Geophaps_ferruginea	3.026299613
Geophaps_scripta	5.017263441
Geophaps_smithii	4.884973291
Phaps_chalcoptera	5.968084817
Phaps_elegans	5.030085008
Phaps_histrionica	5.361701758
Ocyphaps_lophotes	5.289032873
